id_mrp	order	kode	color	width	qty_gross	supplier	tipe	po	price	amount	currency	rate	price_usd	amount_usd	kk	qty_sisa
64	BL-HDM0192	TEBSM2502	BLACK	-	5920	DG.IN DAL	DongGan	MBL22021	0.4	2379.84	CNY	7	0.0618	366.13	40	5920
65	BL-HDM0192	THD100186	BLACK	-	8387	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.76	6374.12	USD	1	0.76	6374.12	-	8387
66	BL-HDM0192	THDOT8001R	CARBON BLACK	-	715	IMP.SAFE REFLECTION/BEMIS TW-HD	Import	MBL22021	22.23	15894.45	USD	1	22.23	15894.45	-	0
67	BL-HDM0192	TNO1030HB	BLACK	-	3571	IMP.G HOME/HOMMTEX-HD	Import	MBL22021	0.12	428.52	USD	1	0.12	428.52	50	0
68	BL-HDM0192	TNO1030HFB	BLACK	-	2296	IMP.G HOME/HOMMTEX-HD	Import	MBL22021	0.14	321.44	USD	1	0.14	321.44	50	0
69	BL-HDM0192	TNOS530NW	WHITE	-	372	IMP.HUNG PHAT-HD	Import	MBL22021	0.4	150.29	USD	1	0.404	150.29	50	0
70	BL-HDM0192	TON002011	BLACK	-	329	DG.MEIMEN	DongGan	MBL22021	2.15	707.35	CNY	7	0.3308	108.82	40	329
71	BL-HDM0192	TON0025011	BLACK	-	286	DG.MEIMEN	DongGan	MBL22021	2.73	780.78	CNY	7	0.42	120.12	40	286
72	BL-HDM0192	TON0035011	BLACK	-	110	DG.MEIMEN	DongGan	MBL22021	3.78	415.8	CNY	7	0.5815	63.97	40	110
73	BL-HDM0192	TONCT12013	BLACK	-	549	DG.MEIMEN	DongGan	MBL22021	3.09	1696.41	CNY	7	0.4754	260.99	40	549
74	BL-HDM0192	TONNT08011	BLACK	-	2193	DG.MEIMEN	DongGan	MBL22021	1.19	2609.67	CNY	7	0.1831	401.49	40	2193
75	BL-HDM0192	TRESWD050	-----	-	17	DG.HENG SHENG	DongGan	MBL22021	34.05	578.8	CNY	7	5.238	89.05	40	17
76	BL-HDM0192	TRESWD070	-----	-	15	DG.HENG SHENG	DongGan	MBL22021	47.66	714.98	CNY	7	7.3331	110	40	15
77	BL-HDM0192	TSP44050M	WHITE	-	2556	PT.INOAC	Local	MBL22021	7511	19198116	RP	12000	0.6259	1599.84	50	0
78	BL-HDM0192	TSPET2001	BLACK	-	7838	DG.IN DAL	DongGan	MBL22021	0.46	3605.48	CNY	7	0.0708	554.69	40	7838
79	BL-HDM0192	TSS23EM31	-----	-	5481	PT.SEOINDO	Local	MBL22021	0	0	USD	1	0	0	-	5481
80	BL-HDM0192	ZASC5I062HD	BLACK	-	459	PT.YKK INDONESIA	Local	MBL22021	0.35	158.45	USD	1	0.3452	158.45	-	459
81	BL-HDM0192	ZASC5I065BT	BLACK	-	7489	PT.YKK INDONESIA	Local	MBL22021	0.3	2236.96	USD	1	0.2987	2236.96	-	7489
82	BL-HDM0192	ZASC5I067HD	BLACK	-	2861	PT.YKK INDONESIA	Local	MBL22021	0.31	880.62	USD	1	0.3078	880.62	-	2861
83	BL-HDM0192	ZASC5I070HD	BLACK	-	265	PT.YKK INDONESIA	Local	MBL22021	0.31	81.57	USD	1	0.3078	81.57	-	265
84	BL-HDM0192	ZASO28I222ZI	BLACK	-	230	PT.YKK INDONESIA	Local	MBL22021	2.81	647.27	USD	1	2.8142	647.27	-	230
85	BL-HDM0192	ZASO28I225ZI	BLACK	-	829	PT.YKK INDONESIA	Local	MBL22021	2.81	2332.97	USD	1	2.8142	2332.97	-	829
86	BL-HDM0192	ZASO28I227ZI	BLACK	-	1439	PT.YKK INDONESIA	Local	MBL22021	2.84	4080.57	USD	1	2.8357	4080.57	-	1439
87	BL-HDM0192	ZASO28I235ZI	BLACK	-	1478	PT.YKK INDONESIA	Local	MBL22021	2.86	4222.79	USD	1	2.8571	4222.79	-	1478
88	BL-HDM0192	ZASO28I242ZI	BLACK	-	953	PT.YKK INDONESIA	Local	MBL22021	2.9	2763.7	USD	1	2.9	2763.7	-	953
89	BL-HDM0192	ZASO28I250ZI	BLACK	-	478	PT.YKK INDONESIA	Local	MBL22021	2.92	1396.43	USD	1	2.9214	1396.43	-	478
90	BL-HDM0192	ZASO28I257ZI	BLACK	-	91	PT.YKK INDONESIA	Local	MBL22021	2.96	269.75	USD	1	2.9643	269.75	-	91
91	BL-HDM0192	ZASO28I265ZI	BLACK	-	42	PT.YKK INDONESIA	Local	MBL22021	2.99	125.4	USD	1	2.9857	125.4	-	42
92	BL-HDM0192	ZHDZP0419	A.SILVER	-	5536	P&H CORP.	Korea	MBL22021	173	957728	WON	1100	0.1573	870.66	-	5536
93	BL-HDM0192	ZNYC25I120H3	BLACK	-	459	PT.YKK INDONESIA	Local	MBL22021	0.46	212.1	USD	1	0.4621	212.1	-	459
94	BL-HDM0192	ZNYC25I125H3	BLACK	-	1657	PT.YKK INDONESIA	Local	MBL22021	0.47	772.82	USD	1	0.4664	772.82	-	1657
